ctrl_iteration,exec_time,malicious_wait_time
0,19699.30,10228.00
1,18699.30,10219.27
2,18699.30,10222.17
3,18699.30,10211.39
4,18699.25,10213.87
5,18699.30,10222.41
6,18699.30,10214.05
7,18699.30,10226.03
8,14699.25,10173.16
9,14699.30,10177.03
10,14699.25,10175.57
11,14699.30,10179.89
12,14699.30,10177.71
13,14699.30,10176.87
14,14699.30,10175.01
15,18699.30,10225.88
16,18699.30,10214.56
17,18699.30,10218.41
18,18699.30,10225.02
19,19699.30,10228.74
20,18699.30,10219.11
21,18699.30,10218.55
22,18699.30,10215.26
23,18699.30,10216.16
24,16699.30,10177.53
25,14699.25,10189.20
26,14699.30,10172.37
27,14699.25,10169.25
28,14799.30,10218.20
29,14699.30,10187.84
30,14699.30,10170.21
31,19699.25,10224.43
32,18699.25,10224.56
33,19699.30,10220.35
34,18699.30,10217.70
35,18699.30,10223.81
36,18699.30,10213.10
37,18699.30,10219.57
38,18699.25,10224.51
39,18699.25,10212.56
40,18699.30,10211.34
41,14699.30,10170.67
42,14699.30,10174.38
43,14699.30,10171.09
44,14699.30,10173.24
45,14699.30,10172.92
46,14699.25,10172.81
47,14699.30,10173.99
48,18699.30,10223.44
49,18699.30,10213.29
50,18699.30,10221.00
51,18699.25,10222.79
52,19599.30,10231.08
53,18699.30,10217.77
54,18699.25,10223.86
55,18699.25,10211.50
56,18699.30,10217.62
57,16699.30,10181.03
58,14699.30,10190.46
59,14699.25,10174.86
60,14699.30,10171.32
61,14699.30,10168.51
62,14699.25,10169.56
63,14699.30,10170.92
64,19699.30,10221.43
65,18699.30,10216.18
66,19699.30,10221.02
67,18699.30,10216.25
68,18699.30,10224.10
69,19699.25,10221.09
70,18699.30,10215.16
71,18699.30,10218.66
72,18699.30,10213.59
73,18699.30,10221.33
74,14699.30,10165.73
75,14799.25,10166.94
76,14699.30,10173.53
77,14799.30,10234.61
78,14799.30,10235.67
79,14699.25,10174.88
80,14699.30,10171.45
