ctrl_iteration,exec_time,tau_i,tau_o
211,3473.34,1.25,0.45
212,4271.39,1.25,0.45
213,3098.71,1.25,0.45
214,1925.32,1.20,0.45
215,6632.60,1.25,0.45
216,5459.55,1.25,0.45
217,4581.20,1.25,0.50
218,4103.04,1.25,0.45
219,2937.28,1.25,0.45
220,4717.30,1.20,0.45
221,3544.64,1.25,0.50
222,2380.35,1.25,0.50
223,2187.74,1.25,0.45
224,2004.86,1.20,0.50
225,1813.22,1.25,0.45
226,2603.11,1.25,0.45
227,2419.78,1.20,0.45
228,2227.63,1.25,0.45
229,2035.74,1.20,0.45
230,1845.09,1.25,0.45
231,2634.76,1.25,0.45
232,2572.99,1.25,0.45
233,4213.46,1.25,0.45
234,4030.87,1.25,0.45
235,2856.59,1.25,0.45
236,4619.87,1.25,0.45
237,3438.28,1.25,0.45
238,3254.34,1.25,0.45
239,3063.42,1.25,0.45
240,3852.88,1.25,0.45
241,4642.43,1.20,0.45
242,3477.79,1.25,0.45
243,3286.69,1.25,0.45
244,4075.58,1.25,0.45
245,2911.26,1.25,0.45
246,3701.21,1.20,0.45
247,3518.10,1.25,0.45
248,4316.57,1.25,0.45
249,3143.17,1.25,0.45
250,1978.44,1.20,0.45
251,3749.41,1.25,0.45
252,4539.54,1.25,0.45
253,2393.08,1.25,0.45
254,2201.48,1.25,0.45
255,2018.01,1.25,0.45
256,1826.52,1.20,0.45
257,2607.83,1.25,0.45
258,2424.27,1.25,0.45
259,2241.15,1.25,0.45
260,2049.65,1.25,0.45
261,1866.98,1.20,0.45
262,2655.89,1.20,0.45
263,4427.42,1.20,0.45
264,3254.41,1.25,0.45
265,3062.67,1.20,0.45
266,2878.43,1.25,0.45
267,4642.37,1.25,0.45
268,3468.42,1.25,0.45
269,4267.18,1.25,0.45
270,3102.70,1.25,0.50
271,3892.30,1.25,0.45
272,4682.56,1.20,0.45
273,3508.73,1.25,0.45
274,2631.32,1.25,0.45
275,3420.41,1.25,0.45
276,2960.40,1.20,0.45
277,3749.15,1.25,0.45
278,4547.70,1.20,0.45
279,3373.79,1.20,0.45
280,4164.18,1.25,0.45
281,2027.67,1.25,0.45
282,1834.65,1.25,0.45
283,2624.64,1.25,0.45
284,2441.72,1.25,0.45
285,2249.63,1.25,0.45
286,2058.47,1.20,0.50
287,1866.51,1.25,0.45
288,2656.49,1.25,0.45
289,2472.61,1.25,0.45
290,2281.67,1.25,0.45
291,4043.10,1.25,0.45
292,2869.92,1.20,0.45
293,4650.43,1.25,0.45
294,3476.18,1.25,0.45
295,3285.47,1.20,0.45
296,4074.94,1.20,0.45
297,2910.36,1.25,0.45
298,3691.28,1.25,0.45
299,3499.00,1.25,0.45
300,4289.50,1.25,0.45
301,3115.71,1.25,0.45
302,2924.17,1.25,0.45
303,4695.70,1.25,0.45
304,3531.05,1.25,0.45
305,4320.39,1.25,0.45
306,3155.80,1.25,0.45
307,2963.85,1.25,0.45
308,3754.03,1.25,0.45
309,4544.11,1.25,0.45
310,3370.35,1.25,0.45
311,3179.17,1.25,0.45
312,2005.47,1.25,0.45
313,1813.54,1.25,0.45
314,2603.46,1.25,0.45
315,2411.21,1.25,0.45
316,2228.14,1.25,0.45
317,2036.70,1.25,0.45
318,1853.17,1.20,0.45
319,2644.06,1.25,0.45
320,2460.79,1.25,0.45
321,2277.10,1.25,0.45
322,4040.05,1.25,0.45
323,2875.05,1.20,0.45
324,4663.99,1.25,0.45
325,3490.54,1.20,0.45
326,3307.27,1.25,0.45
327,4096.79,1.25,0.45
328,2933.16,1.20,0.45
329,1767.29,1.25,0.45
330,6484.23,1.20,0.45
331,5310.82,1.20,0.45
332,4467.35,1.25,0.45
333,3948.74,1.25,0.45
334,2781.00,13.55,0.60
335,4561.09,1.25,0.50
336,3395.55,1.20,0.45
337,2257.20,1.25,0.45
338,4001.74,1.25,0.45
339,2838.96,1.20,0.45
340,3636.33,1.20,0.45
341,2471.73,1.20,0.45
342,2279.63,1.25,0.45
343,2097.07,1.20,0.45
344,1905.41,1.25,0.45
345,2703.11,1.20,0.45
346,2520.42,1.25,0.45
347,2328.66,1.25,0.45
348,2136.98,1.20,0.45
349,1944.91,1.25,0.45
350,2735.18,1.20,0.45
351,4497.35,1.25,0.45
352,3324.24,1.25,0.45
353,2550.01,1.20,0.45
354,3331.99,1.25,0.45
355,2740.33,1.25,0.45
356,4520.50,1.20,0.45
357,3337.89,1.25,0.45
358,4127.99,1.25,0.45
359,2954.33,1.25,0.45
360,2762.47,1.20,0.45
361,4516.76,1.25,0.45
362,3351.79,1.25,0.45
363,4141.76,1.25,0.45
364,2968.46,1.25,0.45
365,2775.86,1.25,0.45
366,3574.94,1.25,0.45
367,3392.21,1.20,0.45
368,4156.30,1.25,0.50
369,2982.42,1.25,0.45
370,1809.36,1.25,0.45
371,2598.72,1.25,0.45
372,2407.15,1.25,0.45
373,2215.34,1.25,0.45
374,2015.02,1.25,0.45
375,1823.07,1.25,0.45
376,2612.67,1.20,0.45
377,2429.67,1.25,0.45
378,2237.63,1.25,0.45
379,2046.08,1.25,0.45
380,2827.46,1.25,0.45
381,4598.74,1.20,0.45
382,4406.50,1.25,0.45
383,3233.45,1.25,0.45
384,2068.51,1.25,0.50
385,3832.26,1.20,0.45
386,4621.07,1.25,0.45
387,3464.96,1.20,0.45
388,4228.35,1.25,0.45
389,3055.86,1.20,0.45
390,2863.92,1.25,0.45
391,4626.15,1.20,0.45
392,3452.90,1.20,0.45
393,4242.81,1.25,0.45
394,3078.43,1.20,0.45
395,2894.68,1.25,0.45
396,3684.81,1.25,0.45
397,3493.35,1.25,0.45
398,4282.54,1.25,0.45
