ctrl_iteration,exec_time,malicious_wait_time
0,13799.30,5120.04
1,13699.25,5089.76
2,13699.30,5088.45
3,14699.30,5093.59
4,14699.30,5096.23
5,16699.30,5105.10
6,13699.25,5087.49
7,13799.30,5118.99
8,14699.25,5092.20
9,13799.30,5121.77
10,13699.30,5091.90
11,13799.30,5122.67
12,13699.25,5087.95
13,9799.30,5087.40
14,9799.25,5092.31
15,9799.30,5090.84
16,9799.30,5090.60
17,9799.30,5085.57
18,9799.25,5096.89
19,9799.30,5091.60
20,9799.30,5091.53
21,9799.30,5090.40
22,9799.25,5091.83
23,14699.30,5092.46
24,14699.30,5093.21
25,14699.30,5092.28
26,14699.25,5094.47
27,14699.30,5095.97
28,13799.30,5122.04
29,13699.30,5086.49
30,13999.30,5091.90
31,13499.25,5110.06
32,13699.30,5087.54
33,13799.30,5117.93
34,13799.30,5117.53
35,13999.30,5098.80
36,12499.30,5102.27
37,9799.30,5097.04
38,9799.25,5090.19
39,9799.30,5092.60
40,9799.25,5093.05
41,9799.30,5093.92
42,9799.30,5095.51
43,9799.25,5093.02
44,9799.30,5093.96
45,9799.25,5090.29
46,10799.30,5107.59
47,13799.30,5117.14
48,16699.30,5106.70
49,13799.30,5120.34
50,14699.25,5094.46
51,14699.30,5094.37
52,14699.30,5094.82
53,13799.30,5120.16
54,13699.25,5085.97
55,13799.30,5117.50
56,14699.25,5091.83
57,13799.25,5121.29
58,13699.30,5087.59
59,13799.30,5118.66
60,9799.30,5089.41
61,9799.30,5089.81
62,9799.30,5093.27
63,9799.30,5090.52
64,9799.25,5089.89
65,9799.30,5092.16
66,9799.30,5092.86
67,9799.30,5091.82
68,9799.25,5079.89
69,9799.30,5106.29
70,12799.25,5123.35
71,13799.30,5121.49
72,13699.30,5088.30
73,13799.30,5115.80
74,14699.30,5091.72
75,14699.25,5092.14
76,14699.30,5094.04
77,13799.25,5118.93
78,13699.25,5089.23
79,13999.30,5092.39
80,13499.30,5117.58
81,13799.25,5086.14
82,13699.30,5121.11
83,13699.30,5087.13
84,9799.30,5088.21
85,9799.30,5093.31
86,9799.30,5092.51
87,9799.30,5096.06
88,9799.30,5096.38
89,9799.30,5094.78
90,9799.25,5094.30
91,9799.30,5093.26
92,9799.25,5093.42
93,9799.30,5079.72
94,14699.30,5101.56
95,14699.30,5093.10
96,14699.30,5096.85
97,14699.30,5095.77
98,14699.30,5095.79
99,13699.25,5122.14
100,13799.30,5120.11
101,14099.30,5118.09
102,14399.25,5110.37
103,13799.30,5121.44
104,13699.30,5088.27
105,13999.30,5088.96
106,13499.25,5115.69
107,11799.30,5099.86
108,9799.25,5105.17
109,9799.30,5093.17
110,9799.30,5089.43
111,9799.30,5092.58
112,9799.30,5092.64
113,9799.30,5093.10
114,9799.25,5092.02
115,9799.25,5091.62
116,9799.30,5091.33
117,10799.30,5107.57
118,13799.30,5122.08
119,13699.30,5088.63
120,13799.30,5120.86
121,13699.25,5085.97
122,13799.25,5119.53
123,14699.30,5089.61
124,14599.30,5089.56
125,13799.30,5084.62
126,13799.30,5116.78
127,13699.30,5084.41
128,13799.30,5118.30
129,14699.25,5090.07
130,13799.30,5118.42
131,11799.30,5097.90
132,9799.30,5100.05
133,9799.30,5090.52
134,9799.30,5092.16
135,9799.30,5092.14
136,9799.25,5091.30
137,9799.30,5094.89
138,9799.25,5094.75
139,9799.30,5091.54
140,9799.25,5090.61
141,10799.30,5106.11
142,13799.30,5108.56
143,16699.30,5116.35
144,13799.30,5123.52
145,14699.30,5094.45
146,14699.30,5099.62
147,13699.30,5092.08
148,13699.25,5122.15
149,13799.30,5117.89
150,13999.30,5104.37
151,13499.30,5109.73
152,13699.30,5091.16
153,13799.25,5119.49
154,13699.30,5088.55
155,9799.30,5088.73
156,9799.30,5093.40
157,9799.30,5079.95
158,9799.30,5108.43
159,9799.30,5093.24
160,9799.30,5093.89
161,9799.25,5094.34
162,9799.30,5096.71
163,9799.30,5094.68
164,9799.25,5096.03
165,14699.30,5095.28
166,14699.30,5098.36
167,13699.30,5089.04
168,13699.25,5085.81
169,13699.25,5091.55
170,13699.25,5086.58
171,14699.30,5092.17
172,14699.30,5095.96
173,13699.25,5088.00
174,13799.25,5120.50
175,13699.30,5089.43
176,13799.30,5122.42
177,14699.30,5091.25
178,13799.30,5120.62
179,9799.30,5092.93
180,9799.25,5094.12
181,9799.30,5095.96
182,9799.30,5093.50
183,9799.30,5095.04
184,9799.25,5095.55
185,9799.25,5092.20
186,9799.25,5093.15
187,9799.30,5093.90
188,9799.30,5094.00
189,13699.30,5087.27
190,13699.30,5092.19
191,13799.30,5087.14
192,13699.30,5091.66
193,13799.30,5085.56
194,14699.30,5095.37
195,14699.30,5095.49
196,13699.30,5091.93
197,13699.30,5084.79
198,13699.30,5089.52
199,13999.25,5100.13
200,13499.30,5112.64
201,13699.30,5089.52
202,10799.25,5098.99
203,9799.30,5093.75
204,9799.25,5089.29
205,9799.30,5088.07
206,9799.30,5091.64
207,9799.30,5091.88
208,9799.30,5092.38
209,9799.30,5092.28
210,9799.30,5096.03
211,9799.30,5095.50
212,12699.30,5123.51
213,13799.30,5119.33
214,14699.30,5097.94
215,14099.30,5093.07
216,14299.30,5092.66
217,13799.30,5089.25
218,13699.25,5092.19
219,14099.25,5112.09
220,13399.30,5100.83
221,13699.30,5089.54
222,13799.30,5122.02
223,13699.25,5089.72
224,13999.25,5097.32
225,12499.30,5108.71
226,9799.30,5096.96
227,9799.30,5092.97
228,9799.30,5096.48
229,9799.25,5097.35
230,9799.30,5096.15
231,9799.30,5096.48
232,9799.30,5098.62
233,9799.30,5098.70
234,9799.25,5096.28
235,10799.30,5111.65
236,13699.25,5089.22
237,14699.30,5102.11
238,13799.30,5118.60
239,13699.30,5100.27
240,14099.30,5094.96
241,14299.25,5095.53
242,13699.30,5087.54
243,14699.30,5098.95
244,13999.30,5099.77
245,13499.30,5113.07
246,13699.25,5092.87
247,13799.30,5116.29
248,13699.30,5100.79
249,9799.25,5091.80
250,9799.25,5096.51
251,9799.25,5095.64
252,9799.30,5096.87
253,9799.30,5096.17
254,9799.30,5095.07
255,9799.25,5095.70
256,9799.30,5098.34
257,9799.30,5096.81
258,9799.30,5095.99
259,14699.30,5096.57
260,14699.30,5095.45
261,14699.25,5094.93
262,14699.25,5096.22
263,13699.30,5090.63
264,13799.30,5111.62
265,13699.25,5097.01
266,14099.30,5106.38
267,13399.30,5099.45
268,13699.25,5090.19
269,13699.30,5086.89
270,13699.30,5090.47
271,13999.30,5097.46
272,12499.25,5106.51
273,9799.30,5095.53
274,9799.30,5098.25
275,9799.30,5097.03
276,9799.30,5095.52
277,9799.30,5096.75
278,9899.25,5108.57
279,9699.30,5086.90
280,9799.30,5096.22
281,9799.25,5096.45
