ctrl_iteration,exec_time,malicious_wait_time
0,21599.30,12733.09
1,21599.30,12741.89
2,21599.30,12740.28
3,21599.25,12724.50
4,17699.25,12771.02
5,17699.30,12762.55
6,17699.30,12762.07
7,17699.30,12761.71
8,17699.30,12758.66
9,17699.25,12764.31
10,21599.30,12743.15
11,21599.25,12738.95
12,21599.30,12735.60
13,21599.30,12736.13
14,21599.30,12734.25
15,21599.25,12740.38
16,21599.25,12741.03
17,21599.30,12739.58
18,17699.30,12760.75
19,17699.30,12762.24
20,17699.25,12761.20
21,17699.25,12764.59
22,17699.25,12755.15
23,17699.25,12753.38
24,21599.30,12732.42
25,21599.30,12728.25
26,21599.25,12728.10
27,22599.30,12750.56
28,22599.30,12749.70
29,21599.25,12738.55
30,21599.30,12740.16
31,21599.25,12740.49
32,20599.30,12734.23
33,17699.30,12767.20
34,17699.30,12758.93
35,17699.30,12762.22
36,17699.30,12758.32
37,17699.30,12767.90
38,21599.30,12755.25
39,21999.30,12749.24
40,21599.30,12732.90
41,21599.25,12741.15
42,22199.30,12766.28
43,22599.25,12734.85
44,21599.30,12755.68
45,21599.30,12737.08
46,19699.30,12716.44
47,17699.30,12763.03
48,17699.30,12756.77
49,17699.30,12760.35
50,17699.30,12767.86
51,17699.25,12760.56
52,21599.30,12746.99
53,22599.30,12757.76
54,21599.25,12739.66
55,21599.30,12748.14
56,21599.30,12743.37
57,21599.30,12738.93
58,21599.30,12739.31
59,21599.30,12736.24
60,21599.30,12741.72
61,17599.25,12759.12
62,17699.30,12766.82
63,17699.30,12756.67
64,17699.25,12759.99
65,17699.30,12754.23
66,22599.30,12748.04
67,21599.30,12741.67
68,21599.30,12734.24
69,21599.30,12756.01
70,21599.25,12750.39
71,21599.30,12745.74
72,21599.30,12750.13
73,21599.30,12743.71
74,17699.30,12752.36
75,17699.30,12761.77
76,17699.30,12770.56
77,17699.30,12769.26
78,17699.30,12763.66
79,17699.30,12761.40
80,21599.30,12748.77
81,21999.30,12746.02
82,21599.30,12742.72
83,21599.25,12736.87
84,21499.30,12731.48
85,21499.30,12721.86
86,21599.30,12745.45
87,21599.25,12737.53
88,17399.30,12735.77
89,17699.30,12766.64
90,17699.25,12764.35
91,17699.30,12762.00
92,17699.30,12763.81
93,17699.30,12760.33
94,21599.30,12744.32
95,21599.25,12750.30
96,21599.30,12745.31
97,21599.25,12749.20
98,21599.30,12747.44
99,21599.30,12737.20
100,21599.30,12739.83
101,21599.25,12734.06
102,17699.30,12742.10
103,17699.30,12734.88
104,17699.30,12775.06
105,17699.25,12762.69
106,17699.30,12758.29
107,17699.25,12754.73
108,21599.30,12739.99
109,21599.30,12735.57
110,21599.25,12735.41
111,21599.30,12738.24
112,21599.30,12734.41
113,21599.30,12718.96
114,21599.30,12746.03
115,21599.30,12731.62
116,17699.30,12742.55
117,17699.25,12754.59
118,17699.25,12746.03
119,17699.30,12749.81
120,17699.30,12749.49
121,17699.25,12744.87
122,21599.25,12735.72
123,21599.30,12743.12
124,21599.30,12736.12
125,21599.30,12738.70
126,21599.25,12731.42
127,21599.30,12735.00
128,21599.30,12740.91
129,21599.30,12745.93
130,17699.30,12752.48
131,17699.30,12756.49
132,17699.30,12754.38
133,17699.30,12750.46
134,17699.30,12757.75
135,17699.30,12753.74
136,21599.30,12743.55
137,21599.30,12749.65
138,21599.25,12742.62
139,21599.25,12743.15
140,21599.30,12734.62
141,21599.30,12742.00
142,21599.30,12743.19
143,21599.30,12743.70
144,17699.30,12752.86
145,17699.30,12766.12
146,17699.30,12760.31
147,17699.30,12768.78
148,17699.30,12764.59
149,17699.25,12766.98
150,21599.30,12744.29
151,21599.30,12741.76
152,21599.30,12737.50
153,21599.25,12732.88
154,21599.30,12732.74
155,21599.25,12735.24
156,21599.25,12729.21
157,21599.30,12738.43
158,17699.30,12753.79
159,17699.25,12753.51
160,17699.30,12755.81
161,17699.25,12758.28
162,17699.25,12753.57
163,17699.30,12754.82
164,21599.30,12738.77
165,21599.30,12733.10
166,21599.30,12729.99
167,22599.30,12740.86
168,21999.30,12753.85
169,21599.30,12775.70
170,21599.30,12744.36
171,21599.30,12735.09
172,17399.30,12731.37
173,17699.30,12755.36
174,17699.30,12752.20
175,17699.25,12755.65
176,17699.30,12755.02
177,17699.25,12751.81
178,21599.30,12736.45
179,21599.30,12740.40
180,21599.25,12736.74
181,21599.25,12737.45
182,21599.30,12738.11
183,21599.30,12747.78
184,21599.25,12741.50
185,21599.30,12742.51
186,17699.25,12754.20
187,17799.30,12769.95
188,17699.30,12753.00
189,17699.25,12757.93
190,17699.30,12759.02
191,17699.25,12760.53
192,21599.30,12739.57
193,21599.30,12731.70
194,21599.30,12737.59
195,22599.25,12751.22
196,22599.25,12746.69
197,21599.25,12731.73
198,21599.30,12740.06
199,21599.30,12740.87
200,17699.30,12754.01
201,17699.30,12755.70
202,17699.30,12760.47
203,17699.25,12761.29
204,17699.30,12757.61
205,17699.25,12754.65
206,21599.30,12740.57
207,21599.25,12731.42
208,21599.25,12738.06
209,21599.25,12740.57
210,21599.30,12736.40
211,21599.30,12747.58
212,21599.30,12743.47
213,21599.30,12742.48
214,17699.25,12749.94
215,17699.30,12764.03
216,17699.30,12764.93
217,17699.30,12762.54
218,17699.30,12764.44
219,17699.30,12746.47
220,21599.25,12757.78
221,21599.25,12738.74
222,21599.25,12738.43
223,22599.30,12763.76
224,22599.30,12752.87
225,21599.30,12740.87
226,21599.30,12748.72
227,21599.30,12748.23
228,20599.30,12734.05
229,17699.30,12765.86
230,17699.30,12766.20
231,17699.30,12762.98
232,17699.30,12762.07
233,17699.30,12766.51
234,21799.30,12764.03
235,21399.30,12730.67
236,21599.30,12749.51
237,21599.30,12750.48
238,21599.30,12745.23
239,21599.30,12748.23
240,21599.25,12735.78
241,21599.25,12749.69
242,21599.30,12744.62
243,17699.30,12768.27
244,17699.30,12760.59
245,17699.30,12762.12
246,17699.25,12760.51
247,17699.25,12761.97
248,22599.25,12757.55
249,21599.30,12744.20
250,21599.30,12745.82
251,21599.30,12737.77
252,22599.30,12750.91
253,21599.30,12728.56
254,21599.30,12738.34
255,21599.30,12730.12
256,21599.25,12730.58
257,17699.30,12758.28
258,17699.30,12750.70
259,17699.30,12762.04
260,17699.30,12762.80
261,17699.25,12765.07
262,22599.30,12753.49
263,21599.30,12742.10
264,21599.30,12739.47
265,21599.25,12739.74
266,22599.30,12750.58
267,22599.30,12743.52
268,21599.30,12727.77
269,21599.30,12754.74
270,21599.25,12746.56
271,17699.30,12769.42
272,17699.30,12760.99
273,17699.25,12760.71
274,17699.30,12763.62
275,17699.30,12758.24
276,17699.30,12767.11
277,22599.30,12758.28
278,21599.30,12752.65
279,21599.25,12745.64
280,21599.25,12744.19
281,22599.30,12757.49
282,21599.30,12741.13
283,21599.25,12742.95
284,21599.25,12746.81
285,17699.30,12762.49
286,17699.30,12759.60
287,17699.30,12759.36
288,17699.30,12757.61
289,17799.25,12774.35
290,17599.30,12743.33
291,21599.30,12740.82
292,21599.30,12743.49
293,21599.25,12747.46
294,21599.30,12747.95
295,21599.30,12748.64
296,21599.30,12737.55
297,21599.25,12739.66
298,21599.30,12741.89
299,17699.30,12758.38
300,17699.30,12757.69
301,17699.25,12761.80
302,17699.30,12761.39
303,17699.30,12760.99
304,19699.30,12724.04
305,21599.30,12736.87
306,21599.30,12732.91
307,21599.30,12739.30
308,21599.30,12738.72
309,21899.30,12748.81
310,21599.30,12727.43
311,21599.25,12736.20
312,21599.30,12734.97
313,17399.25,12739.85
314,17699.30,12758.50
315,17699.30,12755.27
316,17699.30,12750.92
317,17699.30,12753.08
318,22599.30,12754.08
