ctrl_iteration,exec_time,malicious_wait_time
0,12799.30,7670.29
1,12799.30,7668.75
2,16699.30,7656.56
3,17699.25,7659.37
4,16699.30,7659.96
5,17699.30,7659.17
6,16699.30,7653.40
7,17699.30,7652.57
8,16699.30,7654.14
9,17699.30,7651.37
10,16699.30,7649.28
11,17699.30,7653.18
12,16799.30,7665.52
13,12599.30,7635.46
14,12799.25,7658.48
15,12799.25,7661.72
16,12799.30,7659.79
17,12799.25,7660.42
18,12799.30,7660.83
19,12799.30,7666.71
20,12799.25,7660.88
21,16799.30,7641.55
22,16599.25,7645.94
23,17699.30,7642.96
24,16699.30,7646.18
25,17699.30,7641.43
26,16699.30,7644.97
27,17699.30,7645.11
28,16699.30,7644.99
29,17699.30,7649.52
30,16699.25,7645.97
31,17699.25,7640.49
32,12799.30,7654.24
33,12799.30,7658.88
34,12799.25,7658.37
35,12799.30,7659.37
36,12799.25,7648.78
37,12699.25,7614.17
38,12799.30,7661.64
39,13699.30,7620.29
40,16699.30,7638.95
41,17699.25,7645.46
42,16699.30,7648.48
43,17699.30,7652.33
44,16699.30,7649.21
45,17699.25,7649.39
46,16699.30,7647.07
47,16699.30,7639.98
48,16699.30,7638.79
49,16699.30,7641.30
50,16999.25,7652.86
51,12499.30,7639.94
52,12799.30,7662.02
53,12799.25,7661.64
54,12799.30,7660.25
55,12799.30,7659.65
56,12799.30,7663.50
57,12799.30,7663.74
58,15699.30,7637.86
59,17699.30,7647.68
60,16699.25,7648.81
61,16699.30,7644.26
62,16699.30,7640.66
63,16699.25,7645.84
64,16999.30,7633.57
65,16399.30,7662.19
66,16699.30,7644.35
67,16699.25,7647.80
68,16999.30,7656.57
69,13499.25,7649.97
70,12799.30,7660.32
71,12799.30,7662.96
72,12799.30,7666.65
73,12799.30,7660.69
74,12799.25,7662.39
75,12799.30,7658.32
76,12799.30,7658.67
77,17699.30,7645.84
78,16799.30,7663.43
79,16499.30,7621.55
80,17699.30,7644.60
81,16699.30,7641.53
82,17099.25,7628.45
83,16299.30,7655.20
84,16699.25,7637.93
85,16699.30,7644.02
86,16999.25,7654.77
87,16399.30,7634.82
88,12799.30,7642.17
89,12699.30,7617.42
90,12799.30,7664.99
91,12799.30,7665.36
92,12799.30,7664.80
93,12799.25,7667.08
94,12799.25,7661.69
95,12799.25,7669.64
96,16699.30,7654.14
97,16699.30,7646.88
98,17699.25,7648.79
99,16699.30,7651.53
100,17099.30,7660.46
101,16299.25,7644.09
102,16699.30,7643.42
103,16699.30,7649.90
104,16999.30,7664.21
105,16399.30,7636.87
106,16699.30,7641.12
