ctrl_iteration,exec_time,malicious_wait_time
0,11799.25,2560.08
1,11799.25,2564.63
2,10799.30,2555.16
3,7899.30,2571.69
4,7899.30,2572.88
5,7899.30,2573.00
6,7899.30,2572.57
7,7899.30,2570.58
8,7899.30,2572.99
9,7899.30,2572.84
10,7899.30,2573.02
11,7899.30,2572.05
12,7899.25,2572.45
13,7899.30,2572.92
14,7899.30,2572.03
15,11799.30,2560.83
16,11799.30,2563.30
17,11799.25,2559.60
18,11799.30,2562.45
19,11799.30,2554.85
20,11799.25,2567.44
21,11799.30,2558.85
22,11799.30,2563.16
23,11799.25,2559.84
24,11799.25,2562.91
25,11799.30,2560.69
26,11799.30,2563.42
27,11799.30,2558.99
28,11799.30,2561.93
29,11799.30,2560.16
30,11799.30,2563.75
31,9799.30,2551.46
32,7899.30,2573.59
33,7899.30,2573.16
34,7899.30,2573.13
35,7899.25,2574.91
36,7899.25,2573.39
37,7899.30,2573.96
38,7899.30,2572.15
39,7899.30,2574.12
40,7899.25,2574.59
41,7899.25,2574.84
42,7899.25,2573.86
43,7899.30,2573.33
44,12799.30,2564.51
45,11799.30,2565.03
46,11799.30,2561.03
47,11799.30,2564.33
48,11799.30,2560.58
49,11799.30,2562.26
50,11799.25,2559.25
51,11799.25,2562.87
52,11799.30,2561.53
53,11799.30,2563.33
54,11799.30,2561.48
55,11799.25,2565.64
56,11799.25,2560.21
57,11799.30,2559.21
58,11799.30,2566.44
59,11799.30,2563.99
60,8799.30,2572.25
61,7899.25,2572.28
62,7899.30,2572.35
63,7899.30,2572.72
64,7899.25,2572.14
65,7899.30,2573.17
66,7899.30,2574.21
67,7899.30,2572.12
68,7899.25,2572.79
69,7899.25,2572.36
70,7899.30,2572.86
71,7899.25,2572.12
72,7799.30,2573.90
73,12799.30,2566.16
74,12799.25,2563.54
75,12199.30,2562.04
76,12399.25,2562.26
77,14699.30,2553.44
78,11799.30,2560.61
79,11799.25,2564.38
80,11799.25,2561.02
81,11799.30,2564.70
82,11799.30,2561.33
83,11799.30,2563.60
84,11799.30,2559.46
85,11799.25,2562.22
86,11799.30,2560.00
87,10799.25,2559.72
88,10799.30,2555.87
89,7799.25,2575.86
90,7899.30,2572.51
91,7899.30,2572.68
92,7899.30,2572.93
93,7899.30,2573.42
94,7899.30,2573.79
95,7899.30,2573.03
96,7899.25,2572.13
97,7899.30,2572.96
98,6999.25,2560.24
99,7699.30,2546.55
100,7899.30,2573.26
101,10799.30,2559.33
102,11799.30,2561.44
