Experiment,J_normalised,J
000,1.0,1349.1316340333342
025,1.1910042220702057,1635.274766885102
050,1.4816797590293265,2686.880968961036
075,2.6560679139528323,3886.4244246662593
100,4.889172307254726,6281.330114739122
125,Inf,Inf
